MatrixName,nrows,ncols,nnz,rowMean,rowStd,rowMin,rowMax,rowPRatio,rowTop1,rowTop2,rowTop3,rowTop4,rowTop5,rowTop10,rowTop50,rowTop100,rowTop200,rowTop300,rowHot10,rowHot20,rowHot30,rowHot40,rowHot50,rowHot60,rowHot70,rowHot80,rowHot90,colMean,colStd,colMin,colMax,colPRatio,colTop1,colTop2,colTop3,colTop4,colTop5,colTop10,colTop50,colTop100,colTop200,colTop300,colHot10,colHot20,colHot30,colHot40,colHot50,colHot60,colHot70,colHot80,colHot90,Best col_frac,Best hot_frac
3dtube,45330,45330,3213618,70.8938,39.731,10,2364,236.4,33.3456,33.3456,33.3456,33.3456,33.3456,33.261,1.14255,1.14255,1.14255,1.14255,0.0800794,0.167615,0.255129,0.342665,0.430179,0.517692,0.606662,0.72623,0.857512,70.8938,39.731,10,2364,236.4,33.3456,33.3456,33.3456,33.3456,33.3456,33.261,1.14255,1.14255,1.14255,1.14255,0.0800794,0.167615,0.255129,0.342665,0.430179,0.517692,0.606662,0.72623,0.857512,0,0
3elt,4720,4720,27444,5.81441,0.670729,3,9,3,1.54788,1.54788,1.37589,1.37589,1.37589,1.20391,1.20391,1.20391,1.20391,1.03192,0.0881356,0.185169,0.281992,0.378814,0.475847,0.572669,0.669703,0.766525,0.865254,5.81441,0.670729,3,9,3,1.54788,1.54788,1.37589,1.37589,1.37589,1.20391,1.20391,1.20391,1.20391,1.03192,0.0881356,0.185169,0.281992,0.378814,0.475847,0.572669,0.669703,0.766525,0.865254,0,0
3elt_dual,9000,9000,26556,2.95067,0.216563,2,3,1.5,1.01672,1.01672,1.01672,1.01672,1.01672,1.01672,1.01672,1.01672,1.01672,1.01672,0.0984444,0.196778,0.295111,0.393444,0.491778,0.590222,0.688556,0.786889,0.885222,2.95067,0.216563,2,3,1.5,1.01672,1.01672,1.01672,1.01672,1.01672,1.01672,1.01672,1.01672,1.01672,1.01672,0.0984444,0.196778,0.295111,0.393444,0.491778,0.590222,0.688556,0.786889,0.885222,0,0
494_bus,494,494,1666,3.37247,1.41812,2,10,5,2.96519,2.66867,2.66867,2.66867,2.37215,2.37215,1.48259,1.18607,0.889556,0.889556,0.0445344,0.103239,0.176113,0.261134,0.34413,0.453441,0.564777,0.678138,0.831984,3.37247,1.41812,2,10,5,2.96519,2.66867,2.66867,2.66867,2.37215,2.37215,1.48259,1.18607,0.889556,0.889556,0.0445344,0.103239,0.176113,0.261134,0.34413,0.453441,0.564777,0.678138,0.831984,0,0
598a,110971,110971,1483868,13.3717,2.91506,5,26,5.2,1.94441,1.72005,1.72005,1.72005,1.64527,1.64527,1.57048,1.57048,1.4957,1.4957,0.0728659,0.151905,0.235476,0.322868,0.413144,0.508655,0.610511,0.722207,0.84942,13.3717,2.91506,5,26,5.2,1.94441,1.72005,1.72005,1.72005,1.64527,1.64527,1.57048,1.57048,1.4957,1.4957,0.0728659,0.151905,0.235476,0.322868,0.413144,0.508655,0.610511,0.722207,0.84942,0,0
662_bus,662,662,2474,3.73716,1.48419,2,10,5,2.67583,2.67583,2.40825,2.40825,2.40825,2.14066,1.6055,1.33791,1.07033,0.802749,0.0483384,0.107251,0.175227,0.255287,0.348943,0.463746,0.589124,0.712991,0.838369,3.73716,1.48419,2,10,5,2.67583,2.67583,2.40825,2.40825,2.40825,2.14066,1.6055,1.33791,1.07033,0.802749,0.0483384,0.107251,0.175227,0.255287,0.348943,0.463746,0.589124,0.712991,0.838369,0,0
685_bus,685,685,3249,4.74307,1.79162,2,13,6.5,2.74084,2.53001,2.53001,2.53001,2.53001,2.10834,1.68667,1.265,1.05417,1.05417,0.049635,0.112409,0.189781,0.268613,0.359124,0.454015,0.570803,0.690511,0.829197,4.74307,1.79162,2,13,6.5,2.74084,2.53001,2.53001,2.53001,2.53001,2.10834,1.68667,1.265,1.05417,1.05417,0.049635,0.112409,0.189781,0.268613,0.359124,0.454015,0.570803,0.690511,0.829197,0,0
a0nsdsil,80016,80016,355034,4.43704,49.985,3,5003,1667.67,1127.55,1127.55,1127.55,1127.55,1127.55,1.35225,1.35225,1.35225,1.35225,1.35225,1.00E-04,0.065062,0.153807,0.242551,0.331284,0.431289,0.556301,0.704209,0.852105,4.43704,49.985,3,5003,1667.67,1127.55,1127.55,1127.55,1127.55,1127.55,1.35225,1.35225,1.35225,1.35225,1.35225,1.00E-04,0.065062,0.153807,0.242551,0.331284,0.431289,0.556301,0.704209,0.852105,0.66273735,0.417795111
a2nnsnsl,80016,80016,347222,4.33941,47.7306,3,5003,1667.67,1152.92,1152.92,1152.92,1152.92,1152.46,1.38268,1.38268,1.38268,1.38268,1.38268,1.00E-04,0.0704359,0.157219,0.244001,0.330796,0.434951,0.566062,0.710708,0.855354,4.33941,47.7306,3,5003,1667.67,1152.92,1152.92,1152.92,1152.92,1152.46,1.38268,1.38268,1.38268,1.38268,1.38268,1.00E-04,0.0704359,0.157219,0.244001,0.330796,0.434951,0.566062,0.710708,0.855354,0.63875292,0.254162241
a5esindl,60008,60008,255004,4.2495,53.9727,3,9993,3331,2351.57,1177.31,1177.31,1177.31,1.41193,1.41193,1.41193,1.41193,1.41193,1.41193,0.00146647,0.0722904,0.155046,0.240035,0.343804,0.45004,0.575057,0.716704,0.858352,4.2495,53.9727,3,9993,3331,2351.57,1177.31,1177.31,1177.31,1.41193,1.41193,1.41193,1.41193,1.41193,1.41193,0.00146647,0.0722904,0.155046,0.240035,0.343804,0.45004,0.575057,0.716704,0.858352,0.37895784,0.069982441
ABACUS_shell_hd,23412,23412,218484,9.33214,1.30866,6,15,2.5,1.60735,1.60735,1.60735,1.60735,1.60735,1.60735,1.60735,1.60735,1.60735,1.60735,0.0692807,0.165983,0.269691,0.373356,0.477063,0.580771,0.684435,0.788143,0.891808,9.33214,1.30866,6,15,2.5,1.60735,1.60735,1.60735,1.60735,1.60735,1.60735,1.60735,1.60735,1.60735,1.60735,0.0692807,0.165983,0.269691,0.373356,0.477063,0.580771,0.684435,0.788143,0.891808,0,0
ABACUS_shell_ld,23412,23412,218484,9.33214,1.30866,6,15,2.5,1.60735,1.60735,1.60735,1.60735,1.60735,1.60735,1.60735,1.60735,1.60735,1.60735,0.0692807,0.165983,0.269691,0.373356,0.477063,0.580771,0.684435,0.788143,0.891808,9.33214,1.30866,6,15,2.5,1.60735,1.60735,1.60735,1.60735,1.60735,1.60735,1.60735,1.60735,1.60735,1.60735,0.0692807,0.165983,0.269691,0.373356,0.477063,0.580771,0.684435,0.788143,0.891808,0,0
ABACUS_shell_md,23412,23412,218484,9.33214,1.30866,6,15,2.5,1.60735,1.60735,1.60735,1.60735,1.60735,1.60735,1.60735,1.60735,1.60735,1.60735,0.0692807,0.165983,0.269691,0.373356,0.477063,0.580771,0.684435,0.788143,0.891808,9.33214,1.30866,6,15,2.5,1.60735,1.60735,1.60735,1.60735,1.60735,1.60735,1.60735,1.60735,1.60735,1.60735,0.0692807,0.165983,0.269691,0.373356,0.477063,0.580771,0.684435,0.788143,0.891808,0,0
ABACUS_shell_ud,23412,23412,218484,9.33214,1.30866,6,15,2.5,1.60735,1.60735,1.60735,1.60735,1.60735,1.60735,1.60735,1.60735,1.60735,1.60735,0.0692807,0.165983,0.269691,0.373356,0.477063,0.580771,0.684435,0.788143,0.891808,9.33214,1.30866,6,15,2.5,1.60735,1.60735,1.60735,1.60735,1.60735,1.60735,1.60735,1.60735,1.60735,1.60735,0.0692807,0.165983,0.269691,0.373356,0.477063,0.580771,0.684435,0.788143,0.891808,0,0
ACTIVSg10K,20000,20000,137736,6.8868,2.95025,4,36,9,5.22739,5.22739,4.93698,4.93698,4.06575,3.77534,3.19452,2.6137,2.32329,2.32329,0.04605,0.10905,0.17795,0.26125,0.34735,0.43345,0.54305,0.65785,0.82785,6.8868,2.95025,4,36,9,5.22739,5.22739,4.93698,4.93698,4.06575,3.77534,3.19452,2.6137,2.32329,2.32329,0.04605,0.10905,0.17795,0.26125,0.34735,0.43345,0.54305,0.65785,0.82785,0,0
ACTIVSg2000,4000,4000,29336,7.334,3.34491,4,34,8.5,4.63594,4.63594,4.09054,4.09054,3.81783,3.81783,2.99973,2.18162,1.63621,1.63621,0.03875,0.1025,0.176,0.2605,0.35225,0.444,0.5575,0.67975,0.81675,7.334,3.34491,4,34,8.5,4.63594,4.63594,4.09054,4.09054,3.81783,3.81783,2.99973,2.18162,1.63621,1.63621,0.03875,0.1025,0.176,0.2605,0.35225,0.444,0.5575,0.67975,0.81675,0,0
ACTIVSg70K,69999,69999,238627,3.40901,1.52088,2,28,14,8.21354,7.62686,7.33352,6.45349,6.16015,5.86681,4.69345,4.10677,3.52009,2.93341,0.0443435,0.106959,0.175131,0.258647,0.343876,0.432435,0.546065,0.659695,0.829555,3.40901,1.52088,2,28,14,8.21354,7.62686,7.33352,6.45349,6.16015,5.86681,4.69345,4.10677,3.52009,2.93341,0.0443435,0.106959,0.175131,0.258647,0.343876,0.432435,0.546065,0.659695,0.829555,0,0
adaptive,6815744,6815744,27248640,3.9979,0.045827,2,4,2,1.00053,1.00053,1.00053,1.00053,1.00053,1.00053,1.00053,1.00053,1.00053,1.00053,0.0999474,0.199895,0.299842,0.39979,0.499737,0.599684,0.699632,0.799579,0.899527,3.9979,0.045827,2,4,2,1.00053,1.00053,1.00053,1.00053,1.00053,1.00053,1.00053,1.00053,1.00053,1.00053,0.0999474,0.199895,0.299842,0.39979,0.499737,0.599684,0.699632,0.799579,0.899527,0,0
add20,2395,2395,17319,7.23132,13.0319,2,124,62,17.1476,15.7648,15.4882,14.5202,14.2436,12.8607,8.57382,4.70177,2.07431,0.968012,0.00793319,0.0175365,0.0304802,0.0509395,0.0881002,0.184969,0.343215,0.524008,0.741962,7.23132,13.0319,2,124,62,17.1476,15.7648,15.4882,14.5202,14.2436,12.8607,8.57382,4.70177,2.07431,0.968012,0.00793319,0.0175365,0.0304802,0.0509395,0.0881002,0.184969,0.343215,0.524008,0.741962,0,0
add32,4960,4960,23884,4.81532,3.68341,2,32,16,6.64545,6.64545,6.43778,6.23011,6.23011,6.02244,4.98409,3.11506,2.49204,2.49204,0.022379,0.0606855,0.105847,0.168347,0.264919,0.385282,0.505645,0.659476,0.81996,4.81532,3.68341,2,32,16,6.64545,6.64545,6.43778,6.23011,6.23011,6.02244,4.98409,3.11506,2.49204,2.49204,0.022379,0.0606855,0.105847,0.168347,0.264919,0.385282,0.505645,0.659476,0.81996,0,0
adder_dcop_01,1813,1813,11156,6.15334,30.7773,1,1310,1310,212.893,16.2513,5.68797,2.11267,2.11267,1.95016,1.46262,1.30011,1.30011,1.13759,0.000551572,0.0490899,0.12631,0.213458,0.30171,0.404302,0.507446,0.630447,0.787093,6.15334,32.804,1,1332,1332,216.468,57.5298,29.5774,20.9642,10.7259,4.22535,2.4377,1.46262,1.13759,1.13759,0.000551572,0.00551572,0.046332,0.123552,0.218423,0.321015,0.439603,0.57198,0.752896,0,0
adder_dcop_02,1813,1813,11246,6.20298,30.7771,1,1310,1310,211.189,16.1213,5.64245,2.09577,2.09577,1.93455,1.45092,1.2897,1.2897,1.12849,0.000551572,0.0501931,0.127965,0.211252,0.300607,0.403751,0.507998,0.632101,0.785438,6.20298,33.3889,1,1332,1332,214.736,71.4173,29.502,20.7965,10.64,4.19153,2.41819,1.45092,1.12849,1.12849,0.000551572,0.003861,0.042471,0.11914,0.214562,0.317705,0.436845,0.569222,0.751241,0,0
adder_dcop_03,1813,1813,11148,6.14892,30.7776,1,1310,1310,213.045,16.263,5.69205,2.11419,2.11419,1.95156,1.30104,1.30104,1.30104,1.13841,0.000551572,0.0490899,0.12631,0.211252,0.300055,0.402648,0.507998,0.630998,0.787093,6.14892,33.3784,1,1332,1332,216.623,72.0451,29.7613,20.9793,10.4083,3.90312,2.43945,1.46367,1.13841,0.97578,0.000551572,0.003861,0.0419195,0.11914,0.215113,0.317705,0.436293,0.569222,0.750689,0,0
adder_dcop_04,1813,1813,11107,6.12631,30.7795,1,1310,1310,213.832,16.323,5.71306,2.122,2.122,1.95876,1.46907,1.30584,1.30584,1.14261,0.000551572,0.0485383,0.125207,0.208494,0.2984,0.400441,0.504688,0.627137,0.787645,6.12631,33.3627,1,1331,1331,217.26,72.3111,29.8712,21.0567,10.7732,3.7543,2.28523,1.30584,1.14261,0.979382,0.000551572,0.003861,0.0430226,0.120243,0.215113,0.317154,0.434087,0.565361,0.746277,0,0
adder_dcop_05,1813,1813,11097,6.12079,30.7773,1,1310,1310,214.025,16.3377,5.71821,2.12391,2.12391,1.96053,1.4704,1.30702,1.30702,1.14364,0.000551572,0.0485383,0.125207,0.212355,0.301158,0.403199,0.507998,0.630447,0.788196,6.12079,33.3888,1,1332,1332,217.619,72.3762,29.8981,21.0757,10.7829,4.24781,2.28728,1.30702,1.14364,0.980265,0.000551572,0.003861,0.0413679,0.117485,0.211804,0.313844,0.430226,0.568119,0.748483,0,0
adder_dcop_06,1813,1813,11224,6.19084,30.7773,1,1310,1310,211.603,16.1529,5.65351,2.09988,2.09988,1.93835,1.45376,1.29223,1.29223,1.1307,0.000551572,0.0501931,0.127413,0.211252,0.300607,0.403751,0.507998,0.63155,0.785438,6.19084,33.3879,1,1332,1332,215.156,71.5573,29.5598,20.8372,10.6609,4.03822,2.2614,1.45376,1.1307,1.1307,0.000551572,0.003861,0.0430226,0.11914,0.214562,0.317705,0.436293,0.569222,0.750689,0,0
adder_dcop_07,1813,1813,11226,6.19195,30.7769,1,1310,1310,211.565,16.15,5.6525,2.0995,2.0995,1.938,1.4535,1.292,1.292,1.1305,0.000551572,0.0501931,0.127965,0.211804,0.300607,0.404302,0.508549,0.632101,0.785438,6.19195,33.3861,1,1332,1332,215.118,71.5445,29.5545,20.8335,10.659,4.0375,2.4225,1.4535,1.1305,1.1305,0.000551572,0.003861,0.0430226,0.11914,0.214562,0.317705,0.436293,0.569222,0.751241,0,0
adder_dcop_08,1813,1813,11242,6.20077,30.7772,1,1310,1310,211.264,16.127,5.64446,2.09651,2.09651,1.93524,1.45143,1.29016,1.29016,1.12889,0.000551572,0.0501931,0.127965,0.211252,0.300607,0.403751,0.507998,0.632101,0.785438,6.20077,33.3889,1,1332,1332,214.812,71.4427,29.5125,20.8039,10.6438,4.19303,2.41905,1.45143,1.12889,1.12889,0.000551572,0.003861,0.042471,0.11914,0.214562,0.317705,0.436845,0.569774,0.751241,0,0
adder_dcop_09,1813,1813,11239,6.19912,30.7771,1,1310,1310,211.32,16.1313,5.64596,2.09707,2.09707,1.93576,1.45182,1.29051,1.29051,1.12919,0.000551572,0.0501931,0.127965,0.211804,0.300607,0.403751,0.507998,0.632101,0.785438,6.19912,33.3863,1,1332,1332,214.869,71.4618,29.5203,20.8094,10.6467,4.03283,2.4197,1.45182,1.12919,1.12919,0.000551572,0.003861,0.0430226,0.11914,0.214562,0.317705,0.436845,0.569774,0.751241,0,0
adder_dcop_10,1813,1813,11232,6.19526,30.7775,1,1310,1310,211.452,16.1414,5.64948,2.09838,2.09838,1.93697,1.45272,1.29131,1.29131,1.1299,0.000551572,0.0501931,0.127413,0.211252,0.300055,0.403751,0.507446,0.630998,0.785438,6.19526,33.3892,1,1332,1332,215.003,71.5063,29.5387,20.8224,10.6533,4.19676,2.42121,1.45272,1.1299,1.1299,0.000551572,0.003861,0.042471,0.11914,0.21401,0.317705,0.436293,0.569222,0.750689,0,0
adder_dcop_11,1813,1813,11243,6.20132,30.7772,1,1310,1310,211.245,16.1256,5.64396,2.09633,2.09633,1.93507,1.4513,1.29005,1.29005,1.12879,0.000551572,0.0501931,0.127965,0.211252,0.300607,0.403751,0.507998,0.632101,0.785438,6.20132,33.389,1,1332,1332,214.793,71.4364,29.5098,20.802,10.6429,4.19265,2.41884,1.4513,1.12879,1.12879,0.000551572,0.003861,0.042471,0.11914,0.214562,0.317705,0.436845,0.569222,0.750689,0,0
adder_dcop_12,1813,1813,11246,6.20298,30.7771,1,1310,1310,211.189,16.1213,5.64245,2.09577,2.09577,1.93455,1.45092,1.2897,1.2897,1.12849,0.000551572,0.0501931,0.127965,0.211252,0.300607,0.403751,0.507998,0.632101,0.785438,6.20298,33.3889,1,1332,1332,214.736,71.4173,29.502,20.7965,10.64,4.19153,2.41819,1.45092,1.12849,1.12849,0.000551572,0.003861,0.042471,0.11914,0.214562,0.317705,0.436845,0.569222,0.751241,0,0
adder_dcop_13,1813,1813,11245,6.20243,30.7771,1,1310,1310,211.208,16.1227,5.64295,2.09595,2.09595,1.93473,1.45104,1.28982,1.28982,1.12859,0.000551572,0.0501931,0.127965,0.211252,0.300607,0.403751,0.507998,0.632101,0.785438,6.20243,33.3884,1,1332,1332,214.755,71.4237,29.5046,20.7983,10.641,4.19191,2.41841,1.45104,1.12859,1.12859,0.000551572,0.003861,0.042471,0.11914,0.214562,0.317705,0.436845,0.569222,0.751241,0,0
adder_dcop_14,1813,1813,11246,6.20298,30.7771,1,1310,1310,211.189,16.1213,5.64245,2.09577,2.09577,1.93455,1.45092,1.2897,1.2897,1.12849,0.000551572,0.0501931,0.127965,0.211252,0.300607,0.403751,0.507998,0.632101,0.785438,6.20298,33.3889,1,1332,1332,214.736,71.4173,29.502,20.7965,10.64,4.19153,2.41819,1.45092,1.12849,1.12849,0.000551572,0.003861,0.042471,0.11914,0.214562,0.317705,0.436845,0.569222,0.751241,0,0
adder_dcop_15,1813,1813,11246,6.20298,30.7771,1,1310,1310,211.189,16.1213,5.64245,2.09577,2.09577,1.93455,1.45092,1.2897,1.2897,1.12849,0.000551572,0.0501931,0.127965,0.211252,0.300607,0.403751,0.507998,0.632101,0.785438,6.20298,33.3889,1,1332,1332,214.736,71.4173,29.502,20.7965,10.64,4.19153,2.41819,1.45092,1.12849,1.12849,0.000551572,0.003861,0.042471,0.11914,0.214562,0.317705,0.436845,0.569222,0.751241,0,0
adder_dcop_16,1813,1813,11246,6.20298,30.7771,1,1310,1310,211.189,16.1213,5.64245,2.09577,2.09577,1.93455,1.45092,1.2897,1.2897,1.12849,0.000551572,0.0501931,0.127965,0.211252,0.300607,0.403751,0.507998,0.632101,0.785438,6.20298,33.3889,1,1332,1332,214.736,71.4173,29.502,20.7965,10.64,4.19153,2.41819,1.45092,1.12849,1.12849,0.000551572,0.003861,0.042471,0.11914,0.214562,0.317705,0.436845,0.569222,0.751241,0,0
adder_dcop_17,1813,1813,11246,6.20298,30.7771,1,1310,1310,211.189,16.1213,5.64245,2.09577,2.09577,1.93455,1.45092,1.2897,1.2897,1.12849,0.000551572,0.0501931,0.127965,0.211252,0.300607,0.403751,0.507998,0.632101,0.785438,6.20298,33.3889,1,1332,1332,214.736,71.4173,29.502,20.7965,10.64,4.19153,2.41819,1.45092,1.12849,1.12849,0.000551572,0.003861,0.042471,0.11914,0.214562,0.317705,0.436845,0.569222,0.751241,0,0
adder_dcop_18,1813,1813,11246,6.20298,30.7771,1,1310,1310,211.189,16.1213,5.64245,2.09577,2.09577,1.93455,1.45092,1.2897,1.2897,1.12849,0.000551572,0.0501931,0.127965,0.211252,0.300607,0.403751,0.507998,0.632101,0.785438,6.20298,33.3889,1,1332,1332,214.736,71.4173,29.502,20.7965,10.64,4.19153,2.41819,1.45092,1.12849,1.12849,0.000551572,0.003861,0.042471,0.11914,0.214562,0.317705,0.436845,0.569222,0.751241,0,0
adder_dcop_19,1813,1813,11245,6.20243,30.7772,1,1310,1310,211.208,16.1227,5.64295,2.09595,2.09595,1.93473,1.45104,1.28982,1.28982,1.12859,0.000551572,0.0501931,0.127965,0.211252,0.300607,0.403751,0.507998,0.632101,0.785438,6.20243,33.3879,1,1332,1332,214.755,71.4237,29.5046,20.7983,10.641,4.19191,2.41841,1.45104,1.12859,1.12859,0.000551572,0.003861,0.042471,0.11914,0.214562,0.317705,0.436845,0.569222,0.751241,0,0
adder_dcop_20,1813,1813,11246,6.20298,30.7771,1,1310,1310,211.189,16.1213,5.64245,2.09577,2.09577,1.93455,1.45092,1.2897,1.2897,1.12849,0.000551572,0.0501931,0.127965,0.211252,0.300607,0.403751,0.507998,0.632101,0.785438,6.20298,33.3889,1,1332,1332,214.736,71.4173,29.502,20.7965,10.64,4.19153,2.41819,1.45092,1.12849,1.12849,0.000551572,0.003861,0.042471,0.11914,0.214562,0.317705,0.436845,0.569222,0.751241,0,0
adder_dcop_21,1813,1813,11246,6.20298,30.7771,1,1310,1310,211.189,16.1213,5.64245,2.09577,2.09577,1.93455,1.45092,1.2897,1.2897,1.12849,0.000551572,0.0501931,0.127965,0.211252,0.300607,0.403751,0.507998,0.632101,0.785438,6.20298,33.3889,1,1332,1332,214.736,71.4173,29.502,20.7965,10.64,4.19153,2.41819,1.45092,1.12849,1.12849,0.000551572,0.003861,0.042471,0.11914,0.214562,0.317705,0.436845,0.569222,0.751241,0,0
adder_dcop_22,1813,1813,11246,6.20298,30.7771,1,1310,1310,211.189,16.1213,5.64245,2.09577,2.09577,1.93455,1.45092,1.2897,1.2897,1.12849,0.000551572,0.0501931,0.127965,0.211252,0.300607,0.403751,0.507998,0.632101,0.785438,6.20298,33.3889,1,1332,1332,214.736,71.4173,29.502,20.7965,10.64,4.19153,2.41819,1.45092,1.12849,1.12849,0.000551572,0.003861,0.042471,0.11914,0.214562,0.317705,0.436845,0.569222,0.751241,0,0
adder_dcop_23,1813,1813,11246,6.20298,30.7771,1,1310,1310,211.189,16.1213,5.64245,2.09577,2.09577,1.93455,1.45092,1.2897,1.2897,1.12849,0.000551572,0.0501931,0.127965,0.211252,0.300607,0.403751,0.507998,0.632101,0.785438,6.20298,33.3889,1,1332,1332,214.736,71.4173,29.502,20.7965,10.64,4.19153,2.41819,1.45092,1.12849,1.12849,0.000551572,0.003861,0.042471,0.11914,0.214562,0.317705,0.436845,0.569222,0.751241,0,0
adder_dcop_24,1813,1813,11246,6.20298,30.7771,1,1310,1310,211.189,16.1213,5.64245,2.09577,2.09577,1.93455,1.45092,1.2897,1.2897,1.12849,0.000551572,0.0501931,0.127965,0.211252,0.300607,0.403751,0.507998,0.632101,0.785438,6.20298,33.3889,1,1332,1332,214.736,71.4173,29.502,20.7965,10.64,4.19153,2.41819,1.45092,1.12849,1.12849,0.000551572,0.003861,0.042471,0.11914,0.214562,0.317705,0.436845,0.569222,0.751241,0,0
